Word,Count
11,6
12,2
130,1
17,1
178,1
18,2
1805,27
1811,8
1812,59
21,1
22nd,1
25,2
2600,4
30,6
3rd,4
4,12
666,6
8,7
801,1
809,1
9,6
9th,1
abandon,25
abandons,1
abb,19
abbreviations,1
abdicate,1
ability,4
abominably,1
abreast,5
absentees,1
absolved,1
abstained,2
abstention,1
abstract,9
absurd,13
abundantly,1
abuses,2
accentuating,2
accept,24
accepted,36
access,11
accommodation,2
accompanying,9
accomplishing,1
accordance,7
accorded,1
accoucheur,1
accounted,2
accuracy,5
accurate,2
accused,11
accusers,1
accusing,1
accustom,3
ace,1
achieve,4
achilles,6
acknowledged,6
acquiring,2
acquitted,1
acrid,1
acting,16
actress,4
actually,13
additional,7
address,30
addressed,61
adhere,1
adhered,1
adherents,4
adjust,1
administered,4
administrator,4
admirer,2
admitted,27
admonishingly,1
adonai,1
adopt,7
adopted,16
adoration,4
adored,15
adorn,2
advancing,27
advantageous,14
advantages,14
advisable,1
advocates,3
advocating,1
affability,1
affecting,3
affection,18
affectionately,9
affirmatively,4
afflicted,1
afford,1
affording,3
affronted,1
affronts,1
aflame,1
afresh,8
after,841
afterwards,43
afwaid,1
again,709
agate,2
aggression,2
agile,3
agility,7
agonizing,2
agony,4
agreeable,27
agreeing,1
agricultural,1
agwee,1
ai,3
aided,1
aime,5
aimed,8
aiming,6
airiness,1
airs,2
akimbo,4
akin,6
al,3
alarm,31
alarmed,13
alarms,1
alert,8
alex,44
alexanders,2
algebra,1
alighted,2
alighting,2
alike,21
aliment,1
allegiance,2
allows,4
almighty,7
alone,243
alp,137
alsatian,2
altar,6
alter,8
alternate,3
alternated,1
although,11
amant,1
amazon,1
ambled,1
ambush,6
amelie,1
amen,1
amenities,1
america,1
amiabilities,2
amiably,8
amid,58
among,216
amorous,3
amounted,4
amphitheater,2
amuse,9
amusingly,1
an,1654
anathematized,1
anatole,222
ancestor,1
ancestral,1
and,22307
andwew,1
anecdotes,5
angel,19
anger,40
angered,4
angry,109
anguish,1
animals,17
anne,1
annette,12
annex,1
announce,12
annoyance,12
answer,143
answered,153
ant,9
antechambers,1
anteroom,35
anti,1
antichrist,5
antinational,1
anybody,16
anyone,194
apoplectic,1
appalled,3
apparently,41
apparition,2
appeal,15
appealing,1
appeals,1
appears,24
appeased,2
appetizing,2
apple,8
application,8
apportioned,2
appositely,1
appositeness,1
appraised,1
appreciate,6
apprehend,1
approach,28
approaching,59
approbation,2
approximate,2
approximately,3
apr,8
apron,11
aprons,2
aptitude,3
arbitrariness,1
arbitrary,6
arc,2
archduchess,2
archduchy,1
archduke,14
archive,13
ardently,1
argue,4
argumentative,1
arguments,22
aristocracy,3
arithmetic,1
armenian,6
armfeldt,12
armpits,3
aroma,1
around,173
arrangement,7
arranging,19
arrested,19
arriving,16
arsenic,1
artful,2
articulated,1
artillery,53
artistic,2
ascertaining,1
asiatic,3
asile,1
asked,668
aspect,5
aspects,1
assailed,2
assembly,2
assessor,1
assiduous,2
assigned,12
assignment,1
assistance,8
associating,2
assumptions,2
assure,13
assuring,6
astonishment,13
astronomy,8
asylums,3
ate,17
athwart,1
atom,3
atrocity,1
attainment,7
attempting,2
attendez,1
attention,117
attentively,32
attila,1
attitudes,1
attractively,1
auction,2
audible,19
audibly,3
augezd,1
august,47
aunt,47
auntie,3
authentic,3
author,10
authorities,22
authors,4
autocratic,1
autumn,28
available,7
availed,1
avalanche,1
avenged,2
avoid,54
avoidance,2
avoue,1
await,14
awaits,7
awareness,1
awful,22
awhile,14
awl,1
awoke,17
azur,1
ba,2
backed,2
background,4
backward,7
bade,1
baffling,1
bagov,2
bags,7
bah,2
balancing,1
balcony,9
balk,3
ballet,3
balls,45
band,21
bandaged,17
bang,2
banished,3
banks,6
banquet,5
banter,2
baptismal,1
bar,5
barbarous,1
barcarolle,2
barclays,1
bared,5
bargained,1
bargees,1
barges,2
barns,1
baroness,1
barracks,2
barrels,5
barren,2
bars,1
baseness,10
bathed,5
bathhouse,2
bay,7
bayonet,5
bayonets,14
bazaars,1
be,2457
beard,13
bearing,12
bearings,2
bearskin,2
beast,22
beasts,4
beauharnais,2
beautiful,82
beauty,60
becomes,14
bed,118
bedclothes,1
bedsteads,1
bee,11
befalls,1
befouled,2
begging,10
begins,10
behavior,6
belabor,1
belauded,1
belle,1
bellowitz,1
belted,2
bench,21
benches,4
benefactor,27
beneficent,3
benevolent,2
bennigsen,78
ber,17
bergs,4
berlin,7
bessi,1
betray,5
betrayal,2
bettah,1
bewilderment,5
bewitchingly,1
bid,2
bigger,4
bile,2
bilious,2
billet,2
billeted,2
bind,14
